OBJECTID,Province/Territory,Project name,Total project capacity (MW),Turbine identifier,Turbine number in project,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),Manufacturer,Model,Commissioning date,Latitude,Longitude,Notes
110,Alberta,McBride Lake,75,MBL80,80/115,660,50,47,Vestas,V47/660,2003,49,5895735,-113,4641425,
111,Alberta,McBride Lake,75,MBL81,81/115,660,50,47,Vestas,V47/660,2003,49,58886982,-113,4628489,
112,Alberta,McBride Lake,75,MBL82,82/115,660,50,47,Vestas,V47/660,2003,49,58811421,-113,4611013,
113,Alberta,McBride Lake,75,MBL83,83/115,660,50,47,Vestas,V47/660,2003,49,58723996,-113,4594942,
114,Alberta,McBride Lake,75,MBL84,84/115,660,50,47,Vestas,V47/660,2003,49,58651152,-113,458009,
115,Alberta,McBride Lake,75,MBL85,85/115,660,50,47,Vestas,V47/660,2003,49,58945405,-113,4852642,
116,Alberta,McBride Lake,75,MBL86,86/115,660,50,47,Vestas,V47/660,2003,49,58876372,-113,4834577,
117,Alberta,McBride Lake,75,MBL87,87/115,660,50,47,Vestas,V47/660,2003,49,58805628,-113,4817808,
118,Alberta,McBride Lake,75,MBL88,88/115,660,50,47,Vestas,V47/660,2003,49,58745656,-113,4801989,
119,Alberta,McBride Lake,75,MBL89,89/115,660,50,47,Vestas,V47/660,2003,49,58673601,-113,4785705,
120,Alberta,McBride Lake,75,MBL90,90/115,660,50,47,Vestas,V47/660,2003,49,58606635,-113,4769502,
121,Alberta,McBride Lake,75,MBL91,91/115,660,50,47,Vestas,V47/660,2003,49,58536704,-113,4752607,
122,Alberta,McBride Lake,75,MBL92,92/115,660,50,47,Vestas,V47/660,2003,49,58463433,-113,4736417,
123,Alberta,McBride Lake,75,MBL93,93/115,660,50,47,Vestas,V47/660,2003,49,58400501,-113,4718805,
124,Alberta,McBride Lake,75,MBL94,94/115,660,50,47,Vestas,V47/660,2003,49,5833341,-113,4703597,
125,Alberta,McBride Lake,75,MBL95,95/115,660,50,47,Vestas,V47/660,2003,49,58263955,-113,4686767,
126,Alberta,McBride Lake,75,MBL96,96/115,660,50,47,Vestas,V47/660,2003,49,5817836,-113,4671391,
127,Alberta,McBride Lake,75,MBL97,97/115,660,50,47,Vestas,V47/660,2003,49,58094339,-113,4655866,
128,Alberta,McBride Lake,75,MBL98,98/115,660,50,47,Vestas,V47/660,2003,49,58011868,-113,4640299,
