OBJECTID,Province/Territory,Project name,Total project capacity (MW),Turbine identifier,Turbine number in project,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),Manufacturer,Model,Commissioning date,Latitude,Longitude,Notes
3464,Ontario,South Kent Wind Farm,270,SKW103,103/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,39488875,-81,93285303,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3465,Ontario,South Kent Wind Farm,270,SKW104,104/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,3902381,-81,92939338,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3466,Ontario,South Kent Wind Farm,270,SKW105,105/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,37375818,-81,94289331,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3467,Ontario,South Kent Wind Farm,270,SKW106,106/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,39115331,-81,90877329,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3468,Ontario,South Kent Wind Farm,270,SKW107,107/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,38731866,-81,90351458,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3469,Ontario,South Kent Wind Farm,270,SKW108,108/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,35758304,-81,92879313,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3470,Ontario,South Kent Wind Farm,270,SKW109,109/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,35816316,-81,92402158,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3471,Ontario,South Kent Wind Farm,270,SKW110,110/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,35624677,-81,92149702,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3472,Ontario,South Kent Wind Farm,270,SKW111,111/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,36425975,-81,92565294,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3473,Ontario,South Kent Wind Farm,270,SKW112,112/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,36172097,-81,92239157,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3474,Ontario,South Kent Wind Farm,270,SKW113,113/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,36473429,-81,91614126,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3475,Ontario,South Kent Wind Farm,270,SKW114,114/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,36376689,-81,90956851,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3476,Ontario,South Kent Wind Farm,270,SKW115,115/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,36717629,-81,89881033,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3477,Ontario,South Kent Wind Farm,270,SKW116,116/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,37801642,-81,88499616,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3478,Ontario,South Kent Wind Farm,270,SKW117,117/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,37475438,-81,88435058,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3479,Ontario,South Kent Wind Farm,270,SKW118,118/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,36653144,-81,85602482,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3480,Ontario,South Kent Wind Farm,270,SKW119,119/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,36197314,-81,86895975,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3481,Ontario,South Kent Wind Farm,270,SKW120,120/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,35162336,-81,8812387,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3482,Ontario,South Kent Wind Farm,270,SKW121,121/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,3485357,-81,88130765,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3483,Ontario,South Kent Wind Farm,270,SKW122,122/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,34550895,-81,88275673,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3484,Ontario,South Kent Wind Farm,270,SKW123,123/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,33724504,-81,90130408,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3485,Ontario,South Kent Wind Farm,270,SKW124,124/124,1903/2126/2221,101,99,5,Siemens,SWT 2.3-101,2014,42,32025119,-81,95057459,Some turbines derated such that the farm has a maximum operating capacity of 270 MW
3486,Ontario,Springwood,8,2,SPR1,1/4,2050,92,5,100,Senvion,MM92,2014,43,78961534,-80,40469564,
3487,Ontario,Springwood,8,2,SPR2,2/4,2050,92,5,100,Senvion,MM92,2014,43,78649377,-80,40130363,
3488,Ontario,Springwood,8,2,SPR3,3/4,2050,92,5,100,Senvion,MM92,2014,43,78264183,-80,3986239,
3489,Ontario,Springwood,8,2,SPR4,4/4,2050,92,5,100,Senvion,MM92,2014,43,78296855,-80,41129936,
3490,Ontario,Wainfleet,9,WAI1,1/5,1800,100,95,Vestas,V100/1800,2014,42,89549281,-79,38450219,
3491,Ontario,Wainfleet,9,WAI2,2/5,1800,100,95,Vestas,V100/1800,2014,42,89743968,-79,38638397,
3492,Ontario,Wainfleet,9,WAI3,3/5,1800,100,95,Vestas,V100/1800,2014,42,90203636,-79,3912551,
3493,Ontario,Wainfleet,9,WAI4,4/5,1800,100,95,Vestas,V100/1800,2014,42,88000157,-79,37529432,
3494,Ontario,Wainfleet,9,WAI5,5/5,1800,100,95,Vestas,V100/1800,2014,42,87592138,-79,37470038,
3495,Ontario,Armow Wind Project,180,AMW1,1/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,17735366,-81,53879085,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3496,Ontario,Armow Wind Project,180,AMW2,2/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,17190903,-81,53552349,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3497,Ontario,Armow Wind Project,180,AMW3,3/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,16877851,-81,52682157,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3498,Ontario,Armow Wind Project,180,AMW4,4/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,1670398,-81,52045147,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3499,Ontario,Armow Wind Project,180,AMW5,5/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,16421449,-81,51743871,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3500,Ontario,Armow Wind Project,180,AMW6,6/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,16660961,-81,5132823,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3501,Ontario,Armow Wind Project,180,AMW7,7/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,16274411,-81,51325896,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3502,Ontario,Armow Wind Project,180,AMW8,8/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,15798825,-81,5044993,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3503,Ontario,Armow Wind Project,180,AMW9,9/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,15795649,-81,49813263,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3504,Ontario,Armow Wind Project,180,AMW10,10/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,15600975,-81,49259635,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3505,Ontario,Armow Wind Project,180,AMW11,11/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,1547112,-81,48914753,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3506,Ontario,Armow Wind Project,180,AMW12,12/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,15200476,-81,48417794,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3507,Ontario,Armow Wind Project,180,AMW13,13/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,1504803,-81,48023042,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3508,Ontario,Armow Wind Project,180,AMW14,14/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,14944016,-81,47556814,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3509,Ontario,Armow Wind Project,180,AMW15,15/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,16055422,-81,45362695,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3510,Ontario,Armow Wind Project,180,AMW16,16/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,15896757,-81,45798401,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3511,Ontario,Armow Wind Project,180,AMW17,17/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,15985638,-81,46150986,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3512,Ontario,Armow Wind Project,180,AMW18,18/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,16396292,-81,47675091,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3513,Ontario,Armow Wind Project,180,AMW19,19/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,16793397,-81,47884683,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3514,Ontario,Armow Wind Project,180,AMW20,20/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,17080024,-81,48028122,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3515,Ontario,Armow Wind Project,180,AMW21,21/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,17112647,-81,48443334,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3516,Ontario,Armow Wind Project,180,AMW22,22/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,17122342,-81,49307308,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3517,Ontario,Armow Wind Project,180,AMW23,23/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,17206421,-81,49981047,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3518,Ontario,Armow Wind Project,180,AMW24,24/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,18054035,-81,52212404,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3519,Ontario,Armow Wind Project,180,AMW25,25/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,18720511,-81,5338785,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3520,Ontario,Armow Wind Project,180,AMW26,26/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19147556,-81,52890396,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3521,Ontario,Armow Wind Project,180,AMW27,27/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20151043,-81,52041837,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3522,Ontario,Armow Wind Project,180,AMW28,28/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20250846,-81,51636449,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3523,Ontario,Armow Wind Project,180,AMW29,29/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19884178,-81,51676904,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3524,Ontario,Armow Wind Project,180,AMW30,30/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20551525,-81,51428528,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3525,Ontario,Armow Wind Project,180,AMW31,31/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,18261099,-81,47025078,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3526,Ontario,Armow Wind Project,180,AMW32,32/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,1855022,-81,47104862,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3527,Ontario,Armow Wind Project,180,AMW33,33/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,18762978,-81,46701135,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3528,Ontario,Armow Wind Project,180,AMW34,34/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,17987285,-81,45649427,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3529,Ontario,Armow Wind Project,180,AMW35,35/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,17708651,-81,45549647,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3530,Ontario,Armow Wind Project,180,AMW36,36/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,16604001,-81,43460222,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3531,Ontario,Armow Wind Project,180,AMW37,37/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,1674814,-81,42954153,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3532,Ontario,Armow Wind Project,180,AMW38,38/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,1687631,-81,42579091,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3533,Ontario,Armow Wind Project,180,AMW39,39/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,18249878,-81,41522791,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3534,Ontario,Armow Wind Project,180,AMW40,40/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19065597,-81,43365189,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3535,Ontario,Armow Wind Project,180,AMW41,41/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,18980243,-81,43769403,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3536,Ontario,Armow Wind Project,180,AMW42,42/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19609273,-81,43570374,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3537,Ontario,Armow Wind Project,180,AMW43,43/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19355536,-81,44270239,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3538,Ontario,Armow Wind Project,180,AMW44,44/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19344796,-81,44644073,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3539,Ontario,Armow Wind Project,180,AMW45,45/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19291948,-81,45068034,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3540,Ontario,Armow Wind Project,180,AMW46,46/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19653432,-81,45427349,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3541,Ontario,Armow Wind Project,180,AMW47,47/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19910405,-81,44734714,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3542,Ontario,Armow Wind Project,180,AMW48,48/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20313989,-81,45712711,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3543,Ontario,Armow Wind Project,180,AMW49,49/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,2009126,-81,46202823,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3544,Ontario,Armow Wind Project,180,AMW50,50/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20568129,-81,45933855,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3545,Ontario,Armow Wind Project,180,AMW51,51/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20527771,-81,4634131,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3546,Ontario,Armow Wind Project,180,AMW52,52/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20136922,-81,466545,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3547,Ontario,Armow Wind Project,180,AMW53,53/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20426896,-81,46818636,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3548,Ontario,Armow Wind Project,180,AMW54,54/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20347659,-81,47355207,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3549,Ontario,Armow Wind Project,180,AMW55,55/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,2170339,-81,50366343,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3550,Ontario,Armow Wind Project,180,AMW56,56/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22181525,-81,49825484,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3551,Ontario,Armow Wind Project,180,AMW57,57/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22341625,-81,50353967,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3552,Ontario,Armow Wind Project,180,AMW58,58/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,23147755,-81,5342373,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3553,Ontario,Armow Wind Project,180,AMW59,59/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,23271018,-81,53899172,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3554,Ontario,Armow Wind Project,180,AMW60,60/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22930784,-81,54089619,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3555,Ontario,Armow Wind Project,180,AMW61,61/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,24398002,-81,50537885,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3556,Ontario,Armow Wind Project,180,AMW62,62/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,23288129,-81,49150733,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3557,Ontario,Armow Wind Project,180,AMW63,63/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22339397,-81,47236865,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3558,Ontario,Armow Wind Project,180,AMW64,64/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22616195,-81,46652553,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3559,Ontario,Armow Wind Project,180,AMW65,65/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22727955,-81,46226298,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3560,Ontario,Armow Wind Project,180,AMW66,66/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,21972745,-81,45666214,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3561,Ontario,Armow Wind Project,180,AMW67,67/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,21849082,-81,45402465,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3562,Ontario,Armow Wind Project,180,AMW68,68/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,21826732,-81,44594757,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3563,Ontario,Armow Wind Project,180,AMW69,69/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,2187695,-81,43851632,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3564,Ontario,Armow Wind Project,180,AMW70,70/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,21444836,-81,43588841,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3565,Ontario,Armow Wind Project,180,AMW71,71/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20870963,-81,434348,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3566,Ontario,Armow Wind Project,180,AMW72,72/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20876927,-81,43028345,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3567,Ontario,Armow Wind Project,180,AMW73,73/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,211037,-81,4234255,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3568,Ontario,Armow Wind Project,180,AMW74,74/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20777814,-81,42214629,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3569,Ontario,Armow Wind Project,180,AMW75,75/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20336671,-81,41700243,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3570,Ontario,Armow Wind Project,180,AMW76,76/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20619661,-81,41068886,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3571,Ontario,Armow Wind Project,180,AMW77,77/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,20020809,-81,40860789,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3572,Ontario,Armow Wind Project,180,AMW78,78/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,19819662,-81,40382757,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3573,Ontario,Armow Wind Project,180,AMW79,79/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22136009,-81,396911,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3574,Ontario,Armow Wind Project,180,AMW80,80/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,21943381,-81,40707819,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3575,Ontario,Armow Wind Project,180,AMW81,81/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22175702,-81,40968543,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3576,Ontario,Armow Wind Project,180,AMW82,82/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22268319,-81,41393835,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3577,Ontario,Armow Wind Project,180,AMW83,83/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22412804,-81,4179309,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3578,Ontario,Armow Wind Project,180,AMW84,84/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22704323,-81,42360743,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3579,Ontario,Armow Wind Project,180,AMW85,85/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,22600392,-81,42794099,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3580,Ontario,Armow Wind Project,180,AMW86,86/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,23260527,-81,41648908,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3581,Ontario,Armow Wind Project,180,AMW87,87/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,23849929,-81,44219018,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3582,Ontario,Armow Wind Project,180,AMW88,88/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,23954622,-81,43884156,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3583,Ontario,Armow Wind Project,180,AMW89,89/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,24206932,-81,41651834,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3584,Ontario,Armow Wind Project,180,AMW90,90/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,23960565,-81,41599436,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3585,Ontario,Armow Wind Project,180,AMW91,91/91,1800-2300,101,99,5,Siemens,SWT 2.3-101,2015,44,24050367,-81,4101421,Some turbines derated such that the farm has an maximum operating capacity of 180 MW
3586,Ontario,Bow Lake Wind Project,58,32,BOL1,1/36,1620,100,96,GE,GE 1.6-100,2015,47,22985252,-84,5642828,Turbines uprated from 1600 kW
3587,Ontario,Bow Lake Wind Project,58,32,BOL2,2/36,1620,100,96,GE,GE 1.6-100,2015,47,22707328,-84,56647282,Turbines uprated from 1600 kW
3588,Ontario,Bow Lake Wind Project,58,32,BOL3,3/36,1620,100,96,GE,GE 1.6-100,2015,47,2240278,-84,56485662,Turbines uprated from 1600 kW
3589,Ontario,Bow Lake Wind Project,58,32,BOL4,4/36,1620,100,96,GE,GE 1.6-100,2015,47,22010267,-84,56087369,Turbines uprated from 1600 kW
3590,Ontario,Bow Lake Wind Project,58,32,BOL5,5/36,1620,100,96,GE,GE 1.6-100,2015,47,2173607,-84,56579226,Turbines uprated from 1600 kW
3591,Ontario,Bow Lake Wind Project,58,32,BOL6,6/36,1620,100,96,GE,GE 1.6-100,2015,47,21354436,-84,55724988,Turbines uprated from 1600 kW
3592,Ontario,Bow Lake Wind Project,58,32,BOL7,7/36,1620,100,96,GE,GE 1.6-100,2015,47,2173151,-84,55447718,Turbines uprated from 1600 kW
3593,Ontario,Bow Lake Wind Project,58,32,BOL8,8/36,1620,100,96,GE,GE 1.6-100,2015,47,21485734,-84,54925748,Turbines uprated from 1600 kW
3594,Ontario,Bow Lake Wind Project,58,32,BOL9,9/36,1620,100,96,GE,GE 1.6-100,2015,47,22215053,-84,5489405,Turbines uprated from 1600 kW
3595,Ontario,Bow Lake Wind Project,58,32,BOL10,10/36,1620,100,96,GE,GE 1.6-100,2015,47,22652726,-84,55550138,Turbines uprated from 1600 kW
3596,Ontario,Bow Lake Wind Project,58,32,BOL11,11/36,1620,100,96,GE,GE 1.6-100,2015,47,22879124,-84,55038089,Turbines uprated from 1600 kW
3597,Ontario,Bow Lake Wind Project,58,32,BOL12,12/36,1620,100,96,GE,GE 1.6-100,2015,47,23159091,-84,55041932,Turbines uprated from 1600 kW
3598,Ontario,Bow Lake Wind Project,58,32,BOL13,13/36,1620,100,96,GE,GE 1.6-100,2015,47,22475311,-84,54132785,Turbines uprated from 1600 kW
3599,Ontario,Bow Lake Wind Project,58,32,BOL14,14/36,1620,100,96,GE,GE 1.6-100,2015,47,21739006,-84,53492119,Turbines uprated from 1600 kW
3600,Ontario,Bow Lake Wind Project,58,32,BOL15,15/36,1620,100,96,GE,GE 1.6-100,2015,47,22173668,-84,52420242,Turbines uprated from 1600 kW
3601,Ontario,Bow Lake Wind Project,58,32,BOL16,16/36,1620,100,96,GE,GE 1.6-100,2015,47,22926325,-84,52267183,Turbines uprated from 1600 kW
3602,Ontario,Bow Lake Wind Project,58,32,BOL17,17/36,1620,100,96,GE,GE 1.6-100,2015,47,23631545,-84,51859373,Turbines uprated from 1600 kW
3603,Ontario,Bow Lake Wind Project,58,32,BOL18,18/36,1620,100,96,GE,GE 1.6-100,2015,47,23289272,-84,51049745,Turbines uprated from 1600 kW
3604,Ontario,Bow Lake Wind Project,58,32,BOL19,19/36,1620,100,96,GE,GE 1.6-100,2015,47,22982447,-84,50892806,Turbines uprated from 1600 kW
3605,Ontario,Bow Lake Wind Project,58,32,BOL20,20/36,1620,100,96,GE,GE 1.6-100,2015,47,22650241,-84,50230519,Turbines uprated from 1600 kW
3606,Ontario,Bow Lake Wind Project,58,32,BOL21,21/36,1620,100,96,GE,GE 1.6-100,2015,47,23109913,-84,4979644,Turbines uprated from 1600 kW
3607,Ontario,Bow Lake Wind Project,58,32,BOL22,22/36,1620,100,96,GE,GE 1.6-100,2015,47,22381564,-84,4960383,Turbines uprated from 1600 kW
3608,Ontario,Bow Lake Wind Project,58,32,BOL23,23/36,1620,100,96,GE,GE 1.6-100,2015,47,22421975,-84,48616196,Turbines uprated from 1600 kW
